,0
['21.0'],10
['24.0'],18
['4.0'],10
['61.0'],24
['8.0'],10
['12.5'],10
['18.0'],10
['21.0'],16
['9.0'],10
['8.0'],10
['35.0'],18
['7.0'],10
['17.0'],10
